Acronym,Year,Name,Rank,URL,Abstract Deadline,Submission Deadline,Notification Date,Timezone,Topics,Short Description,Other Tracks,Confidence Score,Status
TechDebt,2027,International Conference on Technical Debt,B,https://techdebt2027.conf.researchr.org,2026-10-19,2026-10-26,2027-01-11,,"managing various types of Technical Debt, sharing experiences and best practices, real-world experiences made by practitioners","The premier venue for researchers and practitioners to discuss approaches for managing various types of Technical Debt, to share experiences and best practices.",Tool Track: 2027-01-31 | Journal First: 2027-01-15 | Industry Track: None,10,Success (Official Site)
VEE,2027,International Conference on Virtual Execution Environments,B,,,,,,,,,10,Wrong Edition / Date Not Found
VISSOFT,2027,IEEE International Working Conference on Software Visualisation,B,,,,,,,,,0,Wrong Edition / Date Not Found
VMCAI,2027,"Verification, Model Checking and Abstract Interpretation",B,https://curban.github.io/,,2026-09-16,,,,,,10,Success (Completed via URL)
VTC,2027,IEEE Vehicular Technology Conference,B,,,2026-09-01,2026-12-20,,"Antenna Systems, Propagation, and RF Design, Emerging Technologies, 6G and Beyond, IoT, M2M, Sensor Networks, and Ad-Hoc Networking, Cooperative Communication, Artificial Intelligence and Machine Learning for Communications, Open, Virtual, and Interoperable Networks and Services, Protocol, Security and Services for Wireless Networks, Radio Access Technology and Heterogeneous Networks, Positioning Technologies, Localization and Navigation, Signal Processing for Wireless Communications, Space, Non-terrestrial, Airborne, and Maritime Mobile Systems and Services, Spectrum Management, Spectrum Sharing and Green Communication, Transport Electrification, Vehicular Electronics, Intelligent Transport Systems, Vehicular Communication, Vehicular Telematics, Vehicular Cooperation, Autonomous Driving",,,10,Success (Official Site)
WCNC,2027,IEEE Wireless Communications and Networking Conference,B,,,2026-09-15,,AoE,"MAC and cross-layer, Artificial Intelligence (AI), Internet of Things (IoT), 5G and 6G networks, semiconductor industry","focused on wireless research, applications and technology",,9,Success (Fallback Aggregators)
WiMob,2027,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",B,,,,,,,,,10,Wrong Edition / Date Not Found
WiOpt,2027,"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",B,,,,,,,,,10,Wrong Edition / Date Not Found
WISE,2027,International Conference on Web Information Systems Engineering,B,,,,,,,,,10,Wrong Edition / Date Not Found
IROS,2027,IEEE/RSJ International Conference on Intelligent Robots and Systems,A,,,2027-03-01,,,,,,0,Success (Fallback Aggregators)
ISLPED,2027,IEEE/ACM International Symposium on Low Power Electronics and Design,A,,,,,,,,,0,Wrong Edition / Date Not Found
ITC,2027,International Teletraffic Congress,Unranked,,,,,,,,,0,Wrong Edition / Date Not Found
FPGA,2027,ACM Int'l Symposium on Field Programmable Gate Arrays,A,,,,,,,,,0,Wrong Edition / Date Not Found
ETS,2027,IEEE European Test Symposium,B,https://www.ieee-ets.org/,,2026-12-15,,,,,,0,Success (Official Site)
FPL,2027,Field Programmable Logic and Applications,B,,,,,,,,,0,Wrong Edition / Date Not Found
L@S,2027,ACM Conference on Learning @ Scale,B,,,,,,,,,0,Wrong Edition / Date Not Found
